NH	NV	262701.00
VT	OR	120283.00
AL	NC	3178189.00
MD	ND	4018359.00
VA	NH	5109828.00
ND	NM	4664.00
SC	OH	1487178.00
OK	PA	2085786.00
AK	LA	64230.00
ID	NV	318552.00
VI	CT	58050.00
DC	MP	1750.00
FL	KS	4314088.00
MP	MN	59800.00
NJ	OH	9785424.00
IN	IA	737696.00
ZZ	VA	499411.00
VI	MN	1850.00
GA	MD	2887123.00
OH	WY	564631.00
WI	OH	2503239.00
KY	ID	189440.00
NV	CO	1716069.00
PA	CT	4675560.00
AZ	NE	898079.00
OH	WV	6641156.00
PA	MN	3718786.00
AE	CT	10400.00
AR	OR	167600.00
IN	FL	4093396.00
ID	AR	192643.00
SD	WY	46000.00
VA	HI	4243684.00
TN	WY	336450.00
VA	MO	21349635.00
PR	NV	137232.00
CO	DE	1009015.00
WV	DE	21750.00
NH	AR	318125.00
ZZ	ZZ	500.00
IL	KS	4456591.00
ME	MD	591362.00
MO	NV	1266166.00
WY	DE	155050.00
NV	OR	923655.00
ZZ	PR	2000.00
NY	TX	26146630.00
HI	NV	224324.00
NY	MA	126895465.00
AR	CO	555965.00
VA	VA	469600102.00
RI	IA	312069.00
SC	NE	135975.00
AS	VI	18000.00
CA	FL	64801226.00
NY	KY	26725758.00
NJ	NE	1080784.00
ZZ	NH	63167.00
AK	VT	452357.00
WI	NE	272197.00
RI	FL	1076145.00
MD	MP	2050.00
AZ	OH	5134392.00
NC	ME	389894.00
AR	AS	2000.00
DC	ND	7381429.00
AP	FL	1285.00
CA	IA	12711029.00
MI	NC	2958888.00
IA	KS	423099.00
KS	AK	191223.00
MO	AR	2306857.00
VT	CO	537755.00
OK	ND	1459585.00
DE	MN	140095.00
ZZ	HI	73960.00
MD	PA	21489668.00
DE	CT	252400.00
ZZ	MO	46933.00
HI	AR	105364.00
UT	NC	577708.00
BR	VA	850.00
AZ	FL	5781629.00
NE	VT	284957.00
RI	OH	1258448.00
GA	AK	448359.00
IN	NE	209505.00
IL	ND	2469892.00
VA	CO	10372686.00
KY	WY	143210.00
AP	OH	1000.00
MA	WV	1508626.00
TX	WV	4518509.00
AR	VA	4239612.00
AL	VT	368373.00
NY	DC	39940842.00
SD	ID	73350.00
DE	AZ	607857.00
TN	ID	601608.00
NV	HI	737400.00
NV	MO	1462407.00
NY	OK	2806045.00
MD	KS	3283681.00
VA	AS	260050.00
HI	MS	11450.00
ZZ	OR	90280.00
DE	NJ	1754537.00
NV	PR	5250.00
MO	MS	479799.00
TX	WY	3857435.00
ME	AK	123050.00
VT	VA	722074.00
FL	ND	2327435.00
MA	WY	558956.00
IA	PA	656978.00
KY	WV	1569177.00
UT	LA	263018.00
AZ	IA	1168299.00
OH	ID	1004085.00
DE	WI	428529.00
NV	NH	573190.00
MI	LA	1193486.00
WA	GA	1791891.00
FR	AR	5100.00
CA	OH	57295707.00
IA	ND	164324.00
VI	NJ	168639.00
ZZ	CO	223260.00
FL	PA	21989814.00
PA	AZ	4218142.00
SC	IA	571770.00
RI	NE	47200.00
WI	FL	2532481.00
TE	TX	50.00
IN	OH	3666743.00
NJ	IA	2866795.00
VT	MO	124834.00
OK	KS	1608566.00
VT	HI	46742.00
ND	IN	65100.00
NE	LA	118925.00
