Poll,Date,Kerry (D),Bush (R)
CNN/USA Today/GallupCNN/USA Today/Gallup,4/16 - 4/18,43.66,45.14
ABC News/Wash PostABC News/Wash Post,4/15 - 4/18,44.06,43.54
ZogbyZogby,4/15 - 4/17,45.06,42.54
HarrisHarris,4/8 - 4/15,44.6,43
InsiderAdvantageInsiderAdvantage,4/12 - 4/14,44.4,42.4
NewsweekNewsweek,4/8 - 4/9,44.6,44
ARGARG,4/6 - 4/9,44.4,44.8
CNN/USA Today/GallupCNN/USA Today/Gallup,4/5 - 4/8,44.4,44.8
FOX NewsFOX News,4/6 - 4/7,44.8,44
AP-IpsosAP-Ipsos,4/5 - 4/7,44.2,44
ZogbyZogby,4/1 - 4/4,44.8,43.8
CBS NewsCBS News,3/30 - 4/1,44.8,44.4
IBD/TIPPIBD/TIPP,3/29 - 4/3,43.8,44.6
BattlegroundBattleground,3/28 - 3/31,43.4,45
LA TimesLA Times,3/27 - 3/30,44,45
CNN/USA Today/GallupCNN/USA Today/Gallup,3/26 - 3/28,42.6,45.4
Pew ResearchPew Research,3/22 - 3/28,42.2,44.8
NewsweekNewsweek,3/25 - 3/26,43,46
FOX NewsFOX News,3/23 - 3/24,42.6,46.2
QuinnipiacQuinnipiac,3/16 - 3/22,43.4,46.8
AP-IpsosAP-Ipsos,3/19 - 3/21,44,46.6
Democracy Corps (D)Democracy Corps (D),3/16 - 3/21,43,46.6
InsiderAdvantageInsiderAdvantage,3/18 - 3/19,43.2,45
ZogbyZogby,3/17 - 3/19,43,44.8
NewsweekNewsweek,3/18 - 3/19,42.4,44.6
CBS News/NY TimesCBS News/NY Times,3/10 - 3/14,43.8,44.4
ARGARG,3/9 - 3/11,45.8,44
IBD/TIPPIBD/TIPP,3/8 - 3/11,45,43.8
NBC/WSJNBC/WSJ,3/6 - 3/8,45.8,43.6
CNN/USA Today/GallupCNN/USA Today/Gallup,3/5 - 3/7,46.2,43.8
ABC News/Wash PostABC News/Wash Post,3/4 - 3/7,45.2,44.4
IBD/TIPPIBD/TIPP,3/1 - 3/7,45.2,44.4
FOX NewsFOX News,3/3 - 3/4,45.8,45.4
AP-IpsosAP-Ipsos,3/1 - 3/3,46.6,45.6
NPRNPR,2/26 - 9/25,46.6,45.4
Pew ResearchPew Research,2/24 - 2/29,47.2,45.2
